ID Caso,ID Caso Relacionado,Año,Mes,Día,Código DANE de Municipio,Municipio,Departamento,Región,Modalidad,Iniciativa,Tipo de Unidad Atacada,Grupo Armado 1,Descripción Grupo Armado 1,Grupo Armado 2,Descripción Grupo Armado 2,Grupo Armado 3,Descripción Grupo Armado 3,Lesionados Civiles,Grupo al que Pertenecen los Capturados,Capturados,Lesionados Combatientes,Militares,Policías,Otras Fuerzas Armadas Estatales,Agentes del Estado Sin Información,Total Agentes del Estado,Guerrilleros,Paramilitares,Grupos Posdesmovilización,Combatientes Sin Información,Otros Grupos Armados Organizados,Total Combatientes de Grupos Armados Organizados,Total Combatientes,Personas Sin Información,Total Civiles,Ventaja Militar,Total de Víctimas del Caso,latitud-longitud
1,CR000497,2006,3,12,27073,BAGADO,CHOCO,ATRATO,COMBATE Y/O CONTACTO ARMADO,GRUPOS ARMADOS ORGANIZADOS,SIN INFORMACIÓN,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,GUERRILLA,FARC,,,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,GRUPOS ARMADOS ORGANIZADOS,1,POINT (-76.197969065 5.503119772)
10,CR080150,0,0,0,00000,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,OPERACIÓN MILITAR,FUERZAS ARMADAS ESTATALES,SIN INFORMACIÓN,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,GUERRILLA,FARC,,,0,,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,FUERZAS ARMADAS ESTATALES,1,POINT (-72 4)
100,,0,0,0,05854,VALDIVIA,ANTIOQUIA,NORTE DE ANTIOQUIA,COMBATIENTE MUERTO EN CIRCUNSTANCIA NO DETERMINADA,GRUPOS ARMADOS ORGANIZADOS,SIN INFORMACIÓN,GRUPO PARAMILITAR,NO IDENTIFICADO,GRUPO PARAMILITAR,NO IDENTIFICADO,,,0,,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,GRUPOS ARMADOS ORGANIZADOS,2,POINT (-75.40094502 7.265404213)
1000,CR044183,1966,1,31,41676,SANTA MARIA,HUILA,NORTE DEL HUILA,COMBATE Y/O CONTACTO ARMADO,GRUPOS ARMADOS ORGANIZADOS,UNIDAD EN MOVIMIENTO,GUERRILLA,FARC,GRUPO PARAMILITAR,DEFENSA CIVIL,,,0,,0,0,0,0,0,0,0,4,2,0,0,0,6,6,0,0,GRUPOS ARMADOS ORGANIZADOS,6,POINT (-75.587213 2.937628)
10000,,1996,2,17,85010,AGUAZUL,CASANARE,PIEDEMONTE LLANERO,COMBATE Y/O CONTACTO ARMADO,FUERZAS ARMADAS ESTATALES,SIN INFORMACIÓN,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,GUERRILLA,ELN,,,0,,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,FUERZAS ARMADAS ESTATALES,2,POINT (-72.45852372 5.100675341)
10001,,1996,2,17,EXVEN,FRONTERA VENEZUELA,EXTERIOR,,HOSTIGAMIENTO,GRUPOS ARMADOS ORGANIZADOS,SIN INFORMACIÓN,AGENTE EXTRANJERO,VENEZOLANO,GUERRILLA,ELN,,,0,,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,GRUPOS ARMADOS ORGANIZADOS,2,POINT (-72.73 9.1)
10002,,1996,2,17,20238,EL COPEY,CESAR,SIERRA NEVADA DE SANTA MARTA,HOSTIGAMIENTO,GRUPOS ARMADOS ORGANIZADOS,UNIDAD EN MOVIMIENTO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,1,,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,GRUPOS ARMADOS ORGANIZADOS,1,POINT (-73.91282064 10.19995356)
10003,,1996,2,17,05604,REMEDIOS,ANTIOQUIA,NORDESTE ANTIOQUEÑO,HOSTIGAMIENTO,GRUPOS ARMADOS ORGANIZADOS,UNIDAD FIJA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GRUPOS ARMADOS ORGANIZADOS,0,POINT (-74.55865652 6.997267375)
10004,,1996,2,17,20238,EL COPEY,CESAR,SIERRA NEVADA DE SANTA MARTA,EMBOSCADA,GRUPOS ARMADOS ORGANIZADOS,UNIDAD EN MOVIMIENTO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,0,,0,0,0,6,0,0,6,0,0,0,0,0,0,6,0,0,GRUPOS ARMADOS ORGANIZADOS,6,POINT (-73.91282064 10.19995356)
10005,,1996,2,21,05854,VALDIVIA,ANTIOQUIA,NORTE DE ANTIOQUIA,COMBATE Y/O CONTACTO ARMADO,FUERZAS ARMADAS ESTATALES,SIN INFORMACIÓN,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,2,,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,FUERZAS ARMADAS ESTATALES,2,POINT (-75.40094502 7.265404213)
10006,CR007126,1996,2,21,73411,LIBANO,TOLIMA,NORTE DEL TOLIMA,HOSTIGAMIENTO,SIN INFORMACIÓN,UNIDAD FIJA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SIN INFORMACIÓN,0,POINT (-75.05163715 4.797871222)
10007,CR003111,1996,2,21,17662,SAMANA,CALDAS,EJE CAFETERO,HOSTIGAMIENTO,GRUPOS ARMADOS ORGANIZADOS,UNIDAD EN MOVIMIENTO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GRUPOS ARMADOS ORGANIZADOS,0,POINT (-75.04166105 5.524568841)
